"caminho","categoria","formato","bytes","sha256","titulo"
"apps/docs/content/_partials/migration_warnings.mdx","_partials","mdx","669","c2fa9a686f945b635ca3f01fcbc042afa74bec648259c119982807157fc42d42",""
"apps/docs/content/_partials/oauth_pkce_flow.mdx","_partials","mdx","8058","12c4ef4cc78e3542944eba41192a18cec1325ae48742d1cbc395ae91533ce250",""
"apps/docs/content/_partials/pipelines-public-alpha.mdx","_partials","mdx","188","d0d9ceddadfd98f7fa4de550eebca07ddb04aa3e6d43a7ec1f186062175eba41",""
"apps/docs/content/_partials/postgres_installation.mdx","_partials","mdx","3130","333d5ed3bec2c354aa3ba7dea6b0647592dba92e6357c0360593ff610d7893fc",""
"apps/docs/content/_partials/product_management_sql_template.mdx","_partials","mdx","949","b85806a5f717ba10c1a966771794b1457a132a72cefbbae87e5a42ccd8dbbd29",""
"apps/docs/content/_partials/project_setup.mdx","_partials","mdx","1812","0ce185fd82eb76d5901f4ff7bdfc3a30aa78b2508f83aa08d6c61e6c8d0902be",""
"apps/docs/content/_partials/providers.mdx","_partials","mdx","551","2729d3f37641b1c59e0b09db055219a7bdcebe3cd4e3a454a04422efce42a03c",""
"apps/docs/content/_partials/quickstart_db_setup.mdx","_partials","mdx","3268","0e730c2fd4bda0a77a836bc8a569ff383392b0377ea36892467571a0de221ab3",""
"apps/docs/content/_partials/quickstart_intro.mdx","_partials","mdx","669","b9c101330533170aa46d5259b5beb928aa2fb1b13b108cf0d72bb16a7eac198b",""
"apps/docs/content/_partials/social_provider_settings_supabase.mdx","_partials","mdx","455","9e20db0cdccf7a62e07b97b304a2326be898f6acbb0345489eecb135946a7388",""
"apps/docs/content/_partials/social_provider_setup.mdx","_partials","mdx","1073","c1cd75d0a9c1c0d4add96ab58cfe471b26d8f4c955e90d87dd2ce3d7d3cd3759",""
"apps/docs/content/_partials/uiLibCta.mdx","_partials","mdx","296","0cf5912862233228a7ce5052508495c2dad9bb29a24c4ab713add05b67961b16",""
"apps/docs/content/_partials/universal_links_apple.mdx","_partials","mdx","1640","cd634b73adbd89a1be6d934f01bd0a9879ef0b6e9a17824b71cc2b35de6764b6",""
"apps/docs/content/_partials/user_management_quickstart_sql_template.mdx","_partials","mdx","2408","c1262e037df5b1afb8bf4ca157296b0b5e4dcb97704aa07eb57c1fbc958182e5",""
"apps/docs/content/guides/ai-tools.mdx","guides","mdx","1221","ecf6a2a95387a154f09bf60af8bfe113b90558ac52423cfd47cc80cba36acc67","AI Tools"
"apps/docs/content/guides/ai-tools/ai-prompts.mdx","guides","mdx","2317","33e00dba88d75157f2a310a69eb05a0eaab278b3ed7ff7f4e34eca3e593f635a","AI Prompts"
"apps/docs/content/guides/ai-tools/ai-skills.mdx","guides","mdx","1898","c1be00dac1820169b2370cbaaf6ff3c12b2287b5f33908cdd59f9fa08a3ab2bc","Agent Skills"
"apps/docs/content/guides/ai-tools/byo-mcp.mdx","guides","mdx","6751","240196475a72b26c58d78071cb4842212b3a043320fdbd58ffdb63b229131627","Deploy MCP servers"
"apps/docs/content/guides/ai-tools/mcp.mdx","guides","mdx","11208","6e1f9aeb0ee5a2296dfb99c7b78ee0d5d7b9f75f6dfb30fed6063a4cfe0409b9","Supabase MCP Server"
"apps/docs/content/guides/ai-tools/plugins.mdx","guides","mdx","3071","2344f8546293071f83c300e1ec2893fadd1947a8b7359df4e64f5ad0c3f88866","Supabase Plugin for AI Coding Agents"
"apps/docs/content/guides/ai.mdx","guides","mdx","7440","d71cbb890d447210d7309c9dc5cf53b66775ac449647241e96c5c91c6e34e565","AI & Vectors"
"apps/docs/content/guides/ai/automatic-embeddings.mdx","guides","mdx","30384","640ef207856e86d4ad0f31b5f7acfada45be583fd5f4b5beb50d0c4450fccbba","Automatic embeddings"
"apps/docs/content/guides/ai/choosing-compute-addon.mdx","guides","mdx","20848","b330f18d097a3d5a01ac6eb3feda6527617f275ec6026b0220c06bb13b36bff2","Choosing your Compute Add-on"
"apps/docs/content/guides/ai/concepts.mdx","guides","mdx","4108","e0f88e8c751ceba887ac1b918d9ab947193db844c7a97d73afd36feea69987a9","Concepts"
"apps/docs/content/guides/ai/engineering-for-scale.mdx","guides","mdx","5967","43884d0997361a024f054d2ccc13a39d93e74a3d3d60f8e6b9c336f2e3cbd9f2","Engineering for Scale"
"apps/docs/content/guides/ai/examples/building-chatgpt-plugins.mdx","guides","mdx","7893","eadecde99494811ecf99ea75b9986e18ce727e43a58614c8da7944fa31df66d7","Building ChatGPT plugins"
"apps/docs/content/guides/ai/examples/headless-vector-search.mdx","guides","mdx","5102","e9dcff5f72c3e19b545c810f83cb636aebc32d13308365683c8a5ecd1e0747e2","Adding generative Q&A for your documentation"
"apps/docs/content/guides/ai/examples/huggingface-image-captioning.mdx","guides","mdx","3950","98fac70c308ea79e89ae81cef55bb6ce5e5396fba80637b05c0ec80355392ae1","Generate image captions using Hugging Face"
"apps/docs/content/guides/ai/examples/image-search-openai-clip.mdx","guides","mdx","6684","505cb81fbf823dbf0025a5a156d2773662c07bbd1bfc5cc6c0c8a0ff640350e1","Image Search with OpenAI CLIP"
"apps/docs/content/guides/ai/examples/mixpeek-video-search.mdx","guides","mdx","6487","b32e70be0f54327a9b81f2d221dc5e478b7a845bd5b156fa6c150e2fc5bbd22b","Video Search with Mixpeek Multimodal Embeddings"
"apps/docs/content/guides/ai/examples/nextjs-vector-search.mdx","guides","mdx","17333","17dc70a0b294aac769ec0907ea791d17cfd591ad0a32fabd0c94320273924ac3","Vector search with Next.js and OpenAI"
"apps/docs/content/guides/ai/examples/openai.mdx","guides","mdx","3639","a4b21dc91a6d30cde984efc45428bc50b1b2c6912ca157be5a22783b3b37e8a8","Generating OpenAI GPT3 completions"
"apps/docs/content/guides/ai/examples/semantic-image-search-amazon-titan.mdx","guides","mdx","9244","323896a0ddf579f29c8652b4d449561f0586a128cd96e3b237c67c7bd72c74e7","Semantic Image Search with Amazon Titan"
"apps/docs/content/guides/ai/going-to-prod.mdx","guides","mdx","9985","cf6696f793a6bf227f203e50b6c5e94032cd4c5e1f22361cfe66f6e188cd52de","Going to Production"
"apps/docs/content/guides/ai/google-colab.mdx","guides","mdx","4116","bd8829da91d24852beb850efc233b0fc7350ed2cdfc5a00dbf63f43c4328ecfa","Google Colab"
"apps/docs/content/guides/ai/hugging-face.mdx","guides","mdx","7039","b9680bf938f425d14a2d179e9bbc652c6acff6992a6dc6145e526f8c0305198a","Hugging Face Inference API"
"apps/docs/content/guides/ai/hybrid-search.mdx","guides","mdx","13936","da54d7bfc869acd5f4f1d3fca8feb5d4f5796e3df9b29596a2b8087473203c87","Hybrid search"
"apps/docs/content/guides/ai/integrations/amazon-bedrock.mdx","guides","mdx","5017","d43037aedfbf813715b8397c5ec93ba78ffeff145b30ed39f4e41aed795cf782","Amazon Bedrock"
"apps/docs/content/guides/ai/integrations/llamaindex.mdx","guides","mdx","2884","88c77894ee40c850c386dd94993191f4600983bfb1768b46c85620893e985772","Learn how to integrate Supabase with LlamaIndex, a data framework for your LLM applications."
"apps/docs/content/guides/ai/integrations/roboflow.mdx","guides","mdx","7864","d886e4c60798820289da78b7aad9375ba7b4f5b2991c14348067e49b381a8145","Roboflow"
"apps/docs/content/guides/ai/keyword-search.mdx","guides","mdx","2639","42362b2312984200cad712982d92df046f54b8c9b087ba4a4399e0982bc9f3c7","Keyword search"
"apps/docs/content/guides/ai/langchain.mdx","guides","mdx","8795","b12ce6c94d4d0a1f701bc74434e4a77b5dc075b9f2e3b938b896eca090262c37","LangChain"
"apps/docs/content/guides/ai/python-clients.mdx","guides","mdx","1134","d131715e3249be129b1ef895b13c515854bd52b1ed17f28f45be18e58216cae5","Choosing a Client"
"apps/docs/content/guides/ai/quickstarts/face-similarity.mdx","guides","mdx","2890","d985ae15c001f0dc5d59d35487b99cc6760219ad97bdfae8a415de387c9b56d7","Face similarity search"
"apps/docs/content/guides/ai/quickstarts/generate-text-embeddings.mdx","guides","mdx","5153","15dd4e8a50eea7d943783828a3b3afdf419d7a5c496ea39b7046acaa73930cb6","Generate Embeddings"
"apps/docs/content/guides/ai/quickstarts/hello-world.mdx","guides","mdx","2669","5a001502e50a9f2924c6d46ef5721fa287f4ba4ba1c2ab017fd58c9c6fd34040","Creating and managing collections"
"apps/docs/content/guides/ai/quickstarts/text-deduplication.mdx","guides","mdx","3001","00649461ebb33b6d026b1704d2d1c1cd81dde55e5b0450578861fc0e5d59a3b8","Semantic Text Deduplication"
"apps/docs/content/guides/ai/rag-with-permissions.mdx","guides","mdx","12458","fec07cbc9cebff2d23f6bdc63dbc6139c2f78d4f1cdfd4c3f5f5aef693b05285","RAG with Permissions"
"apps/docs/content/guides/ai/semantic-search.mdx","guides","mdx","13077","9e2efb91a5729fbf48ef35d78d18a66afc3beaf45a9bed41cf5f0a076e4c30d2","Semantic search"
"apps/docs/content/guides/ai/structured-unstructured.mdx","guides","mdx","4367","e3661de5db373850a6c68a63b4d7a1d7bcf46e6008390364c650f17db369b536","Structured and Unstructured"
"apps/docs/content/guides/ai/vecs-python-client.mdx","guides","mdx","2427","bc54c9ef39b7a0a569239c05954cd7d730defd1f388fb013c27ead30fdb1aa3b","Python client"
"apps/docs/content/guides/ai/vector-columns.mdx","guides","mdx","7684","0d0422e8bc9e6381a62482a5f70b516dd0bf517f1282b8470df0e15e3cc8641b","Vector columns"
"apps/docs/content/guides/ai/vector-indexes.mdx","guides","mdx","2387","37674771ea9dcb400f4d79721c7029bc24d168db55c2f9b6dd9a81d91601c5d8","Vector indexes"
"apps/docs/content/guides/ai/vector-indexes/hnsw-indexes.mdx","guides","mdx","8551","b230b96ec87f29d89b343b1b531486212886e9f8d96cb09ed2fd76fc61ab2706","HNSW indexes"
"apps/docs/content/guides/ai/vector-indexes/ivf-indexes.mdx","guides","mdx","4484","a28917fb8a002c4accd880312fa0f28cb39427a9244ae60af5394fa9184ec2dd","IVFFlat indexes"
"apps/docs/content/guides/api.mdx","guides","mdx","2625","a262cda3a73364f923ab2cbf65cbf367c5f9b34681b0c3276cd374ee0e55a9fc","Data REST API"
"apps/docs/content/guides/api/automatic-retries-in-supabase-js.mdx","guides","mdx","5151","a3876a903e18451f363ee9146e8fc43c8476a0e0b4d28ba0f712e528966a8e94","How to do automatic retries with `supabase-js`"
"apps/docs/content/guides/api/creating-routes.mdx","guides","mdx","4596","0b5bef54a5499983d0313956610e074670ed686e32782ee31ace78d70dede099","Creating API Routes"
"apps/docs/content/guides/api/custom-claims-and-role-based-access-control-rbac.mdx","guides","mdx","8322","1e19d8d93ccd6683c87cb772ca2174b02c6b32d517212674859f668fd6bbca06","Custom Claims & Role-based Access Control (RBAC)"
"apps/docs/content/guides/api/handling-errors-in-supabase-js.mdx","guides","mdx","5610","9244b4c634e4631f7b382eebab409a422b39cef398363fcf570dd1e21c66fe2f","Handling errors in `supabase-js`"
"apps/docs/content/guides/api/quickstart.mdx","guides","mdx","7716","e761d40f99bc350489b98d5c7e017da3e9ef9047d9abacf73284c3f0eea63913","Build an API route in less than 2 minutes."
"apps/docs/content/guides/api/rest/auto-generated-docs.mdx","guides","mdx","774","fb318eca9268702da0dcd09968ea973adccdfdd8cd6c469415d1fcf60ed6c4b5","Auto-generated documentation"
"apps/docs/content/guides/api/rest/client-libs.mdx","guides","mdx","3036","71d97f183b21dcbbe766747c0460a7d68703b7632defb7e5f755de73f3010391","Client Libraries"
"apps/docs/content/guides/api/rest/generating-python-types.mdx","guides","mdx","5376","21716983a1e30a33e3fd6a3641ee9a1f9b92f87d3903c3b859445602a192f436","Generating Python Types"
"apps/docs/content/guides/api/rest/generating-types.mdx","guides","mdx","11136","3d16dcd19031100d2da9f0b810754f8ce02a7a30f1a074aaa1bf73f9af8ef138","Generating TypeScript Types"
"apps/docs/content/guides/api/rest/postgrest-error-codes.mdx","guides","mdx","16710","e2be3e83e2f019bc62f6795cb4173aba1e007443beb26caff0cd834cbfe2aa93","Error Codes"
"apps/docs/content/guides/api/securing-your-api.mdx","guides","mdx","17531","d834f41582743ffdfd7df3b11a9b7c29b38ca8b5c73028c8d63a4bdff49e72bd","Securing your API"
"apps/docs/content/guides/api/sql-to-api.mdx","guides","mdx","2203","b20eaa78d06810686cd43d7b7b18bcfce732f7b92c983850ccbf9b21e700c978","Converting SQL to JavaScript API"
